MoMoK_Nr;Name;Bundesland;Datum;Nr_PK;Nr;Baumartengruppe;TYP;Hoehe/Laenge [dm];Durchmesser [cm];Zersetzungsgrad
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;37;2;4;2;15,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;38;2;4;4,1;51;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;39;2;4;2,6;18,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;40;2;4;2,4;24;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;41;2;4;2,4;30;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;42;2;4;3,2;34;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;43;2;4;2,8;27,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;44;2;2;85;16;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;45;2;2;87;11,5;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;46;2;2;35;10;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;47;2;2;64;13;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;48;2;2;97;10;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;49;2;2;63;10;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;50;2;2;58;11;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;51;2;2;117;11;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;52;2;2;86;15,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;53;2;2;87;12;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;54;2;2;20;12;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;55;2;2;108;16;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;56;2;2;98;13;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;57;2;2;74;10;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;58;2;2;137;16,5;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;59;2;2;80;11;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;60;2;1;65;6,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;61;2;1;31;11;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;62;2;1;70;7,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;63;2;1;47;11,5;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;64;2;1;51;8,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;65;2;1;65;11;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;66;2;1;52;11;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;67;2;1;29;10;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;68;2;1;100;12;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;69;2;1;95;14;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;70;2;1;11;13;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;71;2;1;13;9,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;72;2;1;10;11;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;73;2;1;75;12,5;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;74;2;1;51;11;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;75;2;1;49;17;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;76;2;1;46;9;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;77;2;1;76;8;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;78;2;1;113;8,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;79;2;1;38;11,5;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;80;2;1;30;15;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;81;2;1;39;16;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;82;2;1;15;13;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;83;2;1;36;8;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;84;2;1;61;8;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;85;2;1;43;12;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;86;2;1;57;9;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;87;2;1;25;16,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;88;2;1;13;11;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;89;2;1;34;8,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;90;2;1;71;7,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;91;2;1;46;8;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;92;2;1;53;14;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;93;2;5;151;16,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;1;94;2;5;134;22,5;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;1;2;2;75;11;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;2;2;2;141;22;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;3;2;2;164;20,5;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;4;1;2;107;12,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;5;2;2;95;12;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;6;2;3;46;17;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;7;2;3;57;12;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;8;2;3;58;11;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;9;2;3;34;10;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;10;2;3;81;18;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;11;2;3;58;10;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;12;2;4;2,6;20,5;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;13;2;4;2,7;20;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;14;2;4;2,3;21;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;15;2;4;2,7;29,5;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;16;2;4;2,6;24;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;17;2;4;2,3;24;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;18;2;4;3;46;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;19;2;4;2,5;25;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;20;2;4;2;23;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;21;2;4;2,1;10,5;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;22;2;4;2,2;15;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;23;2;4;2;26,5;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;24;2;4;2,9;27,5;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;25;2;4;2,3;20;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;26;2;4;2;14;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;27;2;4;2,3;20,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;28;2;4;2,3;24,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;29;2;4;3,3;42;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;30;2;4;2,2;37;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;31;2;4;2;22;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;32;2;4;2;24;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;33;2;4;2;20;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;34;2;4;2;21,5;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;35;2;4;2,2;23;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;36;2;4;2;28;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;37;2;4;2,1;35;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;38;2;4;2,9;33,5;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;39;2;4;2,6;23;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;40;2;4;2,3;25,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;41;2;4;2,2;23;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;42;2;4;2;21;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;43;2;4;2,4;26;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;44;2;4;2;19;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;45;2;4;2,7;32;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;46;2;4;3,2;25,5;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;47;2;4;3,6;32,5;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;48;2;4;2,2;18;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;49;2;4;2,9;36,5;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;50;2;5;111;10;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;51;2;1;66;8;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;52;2;1;98;13;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;53;2;1;10;10;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;54;2;1;11;10,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;55;2;1;78;13;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;56;2;1;109;9;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;57;2;1;10;9;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;58;2;1;24;8;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;59;2;1;23;8;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;60;2;1;62;8;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;61;2;1;36;10;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;62;2;1;101;9,5;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;63;2;1;37;9;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;64;2;1;83;9;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;65;2;1;95;8,5;2
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;66;2;1;14;11,5;3
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;67;2;1;22;12;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;68;2;1;94;17;4
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;69;2;1;23;10;5
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;14.10.2021;2;70;2;1;30;8;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;1;1;1;67;20;3
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;2;1;1;13;9;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;3;1;1;8;13;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;4;1;1;95;5;1
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;5;1;1;14;7;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;6;1;1;7;15;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;7;1;1;6;17;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;8;1;1;24;14;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;9;1;1;18;10;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;10;1;4;6;13;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;11;1;1;12;11;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;12;1;1;25;9;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;13;1;1;8;16;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;14;1;4;10;12;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;15;1;4;4;12;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;16;1;1;5;27;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;17;1;4;7;22;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;18;1;4;5;20;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;19;1;1;5;25;2
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;20;1;1;73;7;1
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;21;1;4;3;20;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;22;1;4;8;18;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;23;1;1;7;19;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;24;1;4;10;37;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;25;1;1;22;11;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;26;1;4;9;13;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;27;1;4;4;17;5
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;28;1;4;4;22;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;29;1;1;38;10;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;30;1;1;11;10;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;31;1;1;20;12;4
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;32;1;5;107;11;1
32050;Stromtrasse/Spechti;BB;05.05.2022;MB;1;1;1;61;14;5
32050;Stromtrasse/Spechti;BB;05.05.2022;MB;2;1;1;48;15;5
32050;Stromtrasse/Spechti;BB;05.05.2022;MB;3;1;1;65;9;5
32050;Stromtrasse/Spechti;BB;05.05.2022;MB;4;1;1;46;11;5
32050;Stromtrasse/Spechti;BB;05.05.2022;MB;5;1;1;50;12;5
32050;Stromtrasse/Spechti;BB;05.05.2022;MB;6;1;1;35;10;5
32050;Stromtrasse/Spechti;BB;05.05.2022;MB;7;1;1;46;9;5
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;1;1;3;28;10;4
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;2;1;1;28;12;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;3;1;1;66;8;1
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;4;1;1;32;11;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;5;1;4;7;20;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;6;1;1;90;16;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;7;1;1;61;11;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;8;1;1;30;8;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;9;1;1;23;12;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;10;1;1;38;14;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;11;1;4;11;17;1
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;12;1;1;92;9;1
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;13;1;4;10;18;4
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;14;1;1;88;12;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;15;1;4;3;15;4
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;16;1;1;30;9;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;17;1;1;54;13;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;18;1;1;25;10;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;19;1;4;9;18;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;20;1;1;40;12;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;21;1;1;8;14;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;22;1;1;7;13;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;23;1;1;16;14;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;24;1;3;18;15;4
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;25;1;1;16;14;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;26;1;3;35;15;4
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;27;1;1;29;15;2
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;28;1;4;7;15;5
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;29;1;4;6;17;5
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;30;1;4;9;14;5
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;31;1;4;5;17;5
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;32;1;4;7;15;5
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;33;1;1;30;10;3
32070;Hellsee/Biesenthal;BB;04.07.2022;MB;34;1;3;56;20;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;1;1;2;137;12;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;2;1;2;154;11;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;3;1;2;137;11;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;4;1;3;61;10;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;5;1;3;113;10;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;6;1;2;143;12;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;7;1;3;152;13;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;8;1;2;134;10;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;9;1;2;138;11;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;10;1;2;159;14;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;11;1;2;153;14;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;12;1;3;16;11;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;13;1;3;120;14;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;14;1;2;152;12;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;15;1;3;48;10;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;16;1;2;146;18;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;17;1;2;141;14;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;18;1;2;128;10;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;19;1;2;174;11;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;20;1;3;139;12;2
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;MB;21;1;2;178;15;1
